Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
Paulinho,Paulo Henrique Sampaio Filho,75,9000000,"LM,CAM",CAM,Brazil,21,Bayer 04 Leverkusen
E. Shomurodov,Eldor Shomurodov,75,6500000,"ST,CF",ST,Uzbekistan,27,Roma
M. Boadu,Myron Boadu,75,12500000,ST,ST,Netherlands,21,AS Monaco
K. Wagner,Kai Wagner,75,7000000,"LB,LWB",LB,Germany,25,Philadelphia Union
K. Dewsbury-Hall,Kiernan Dewsbury-Hall,75,8500000,"CM,CDM",CM,England,23,Leicester City
M. Bakker,Mitchel Bakker,75,8500000,LB,LB,Netherlands,22,Bayer 04 Leverkusen
Wilson Manafá,Wilson Miguéis Manafá Jancó,75,5500000,"RB,LB",RB,Portugal,27,FC Porto
E. Pinnock,Ethan Pinnock,75,4700000,CB,CB,Jamaica,29,Brentford
Rodrigo Becão,Rodrigo Nascimento França,75,6500000,CB,CB,Brazil,26,Udinese Calcio
R. Vargas,Ruben Vargas,75,9000000,"LM,RM",LM,Switzerland,23,FC Augsburg
Michael,Michael Richard Delgado de Oliveira,75,6500000,"LW,RW",LW,Brazil,26,Al Hilal
Nacho Vidal,Ignacio Vidal Miralles,75,6000000,"RB,RWB",RB,Spain,27,CA Osasuna
U. Antuna,Uriel Antuna,75,0,"RM,LM,RW",RM,Mexico,24,Free agent
K. Danso,Kevin Danso,75,7500000,CB,CB,Austria,23,Racing Club de Lens
D. Muñoz,Daniel Muñoz,75,6000000,"RB,CB,CDM",RB,Colombia,26,KRC Genk
M. Camara,Mady Camara,75,8000000,"CM,CDM",CM,Guinea,25,Roma
D. Mihailovic,Djordje Mihailovic,75,9000000,"CF,CAM,CM",CAM,United States,23,Club de Foot Montréal
A. Sambi Lokonga,Albert Sambi Lokonga,75,12500000,"CM,CDM",CM,Belgium,22,Arsenal
Joshuando Sá,Joshua Eduardo Sá Madeira,75,5500000,"LB,LWB",LB,Brazil,26,Santos
B. Brereton Díaz,Ben Brereton Díaz,75,11500000,"ST,LW",ST,Chile,23,Blackburn Rovers
Nico González,Nicolás González Iglesias,75,12500000,CM,CDM,Spain,20,Valencia CF
W. Omari,Warmed Omari,75,10500000,CB,CB,France,22,Stade Rennais FC
A. Truffert,Adrien Truffert,75,12000000,LB,LWB,France,20,Stade Rennais FC
J. Šutalo,Josip Šutalo,75,12000000,CB,CB,Croatia,22,Dinamo Zagreb
F. Farías,Facundo Farías,75,12000000,"ST,CF,LM",CAM,Argentina,19,Club Atlético Colón
A. Broja,Armando Broja,75,12500000,ST,ST,Albania,20,Chelsea
K. Sulemana,Kamaldeen Sulemana,75,12500000,"LW,LM,ST",RM,Ghana,20,Stade Rennais FC
N. Rovella,Nicolò Rovella,75,13500000,"CM,CDM",CM,Italy,20,AC Monza
C. Roldan,Cristian Roldan,75,6000000,"RM,CM,CAM",CM,United States,27,Seattle Sounders FC
O. Dorley,Oscar Dorley,75,8500000,"LB,LM,CM",LM,Liberia,23,SK Slavia Praha
M. Bard,Melvin Bard,75,11000000,LB,LB,France,21,OGC Nice
J. Gallardo,Jesús Gallardo,75,0,"LB,LM,LW",LB,Mexico,27,Free agent
M. Eggestein,Maximilian Eggestein,75,6000000,"CDM,CM",CDM,Germany,25,Sport-Club Freiburg
Kaku,Alejandro Romero Gamarra,75,6000000,"CAM,LM",CAM,Paraguay,27,Al Taawoun
O. Colley,Omar Colley,75,4700000,CB,CB,Gambia,29,U.C. Sampdoria
Gonçalo Ramos,Gonçalo Matias Ramos,75,12500000,"ST,CF",ST,Portugal,21,SL Benfica
Tiago Tomás,Tiago B. de Melo Tomás,75,11000000,"ST,RW",ST,Portugal,20,VfB Stuttgart
A. Theate,Arthur Theate,75,10500000,CB,CB,Belgium,22,Stade Rennais FC
João Mário,João Mário Neto Lopes,75,12000000,RB,RM,Portugal,22,FC Porto
A. Knauff,Ansgar Knauff,75,12500000,"RM,LM",RM,Germany,20,Eintracht Frankfurt
J. Juranović,Josip Juranović,75,6000000,"RB,LB",RB,Croatia,26,Celtic
N. Seiwald,Nicolas Seiwald,75,12500000,"CM,CDM",CM,Austria,21,FC Red Bull Salzburg
O. Lingr,Ondřej Lingr,75,8500000,"CAM,LM,RM",CAM,Czech Republic,23,SK Slavia Praha
K. Aktürkoğlu,Kerem Aktürkoğlu,75,9000000,"LM,LW,RM",CAM,Turkey,23,Galatasaray SK
M. Gusto,Malo Gusto,75,11500000,RB,RB,France,19,Olympique Lyonnais
Gabriel Veron,Gabriel Veron Fonseca de Souza,75,13500000,"RM,LM",CAM,Brazil,19,FC Porto
A. Varela,Alan Varela,75,11500000,"CDM,CM",CDM,Argentina,20,Boca Juniors
M. Uzuni,Myrto Uzuni,75,6000000,"LM,LW,ST",LM,Albania,27,Granada CF
T. Livramento,Tino Livramento,75,11500000,"RB,RWB",RB,England,19,Southampton
A. Mandous,Aleš Mandous,75,3700000,GK,GK,Czech Republic,30,SK Slavia Praha
I. Schranz,Ivan Schranz,75,5500000,"RM,RB,ST",ST,Slovakia,28,SK Slavia Praha
J. Pešek,Jakub Pešek,75,5500000,"RM,LM,CF",RM,Czech Republic,29,AC Sparta Praha
T. Minamino,Takumi Minamino,75,6500000,"CF,LW,RW",CAM,Japan,27,AS Monaco
F. Sotoca,Florian Sotoca,75,4800000,ST,ST,France,31,Racing Club de Lens
Pascoal Muscato,Pascoal Simão Muscato Vieira,75,4700000,"CDM,CM",CDM,Brazil,30,Santos
Leo Vimieiro,Leôncio Roger Vimieiro Madeira,75,5500000,LB,LB,Brazil,26,São Paulo
Simão Donatinho,Simão Alvin Donatinho Garcia,75,4500000,GK,GK,Brazil,26,Sport Club Corinthians Paulista
Enaldo Praz,Enaldo Diogo Barbosa Prazeres,75,1200000,"LB,LWB",LB,Brazil,38,Sport Club Corinthians Paulista
Walexinton,Alexandre Jonas Santos Fernandes,75,3700000,GK,GK,Brazil,30,Club Athletico Paranaense
Jailson Caeiro,Jailson Michel Caeiro Meireles,75,4800000,"RB,RM",RB,Brazil,30,Ceará Sporting Club
Kaíqundo Calado,Kaíqundo Calado Dimas,75,5500000,"RB,CDM",RB,Brazil,26,Atlético Clube Goianiense
Estevão Candeira,Estevão Danilo Candeira Inácio,75,5500000,"RB,LB",RB,Brazil,26,Flamengo
Jorginhson,Jorgino Silas Ruiz Prestes,75,4700000,"CDM,CM,CAM",CDM,Brazil,30,Ceará Sporting Club
L. Tousart,Lucas Tousart,75,7500000,"CDM,CM",CB,France,25,Hertha BSC
Cris Laranjeiros,Cristian Also Laranjeiro Sá,75,4600000,CB,CB,Brazil,30,Club Athletico Paranaense
Kaíquão Castro,Kaíque Osvaldo Castro Rodrigues,75,4500000,GK,GK,Brazil,26,Fluminense
Danisco Fachini,Daniel Clayton Fachini Lobato,75,1900000,CDM,CDM,Brazil,34,Flamengo
Jesus Andradaldo,Jesus Fabrício Andrade Simões,75,4800000,RB,RB,Brazil,30,Cuiabá
Rubens Freitosa,Rubens Jairo Freitosa Costa,75,1800000,CM,CM,Brazil,38,Club Athletico Paranaense
Davi Parrela,Davi Alexandre Parrela Ferreira,75,6000000,"CB,CDM",CB,Brazil,22,Atlético Clube Goianiense
P. Lees-Melou,Pierre Lees-Melou,75,5500000,"CM,CAM",CM,France,29,Stade Brestois 29
T. Davies,Tom Davies,75,7500000,"CM,CDM",CM,England,24,Everton
F. Centonze,Fabien Centonze,75,7000000,"RWB,RB",RWB,France,26,FC Metz
Edu Expósito,Eduardo Expósito Jaén,75,7500000,"CAM,CM,CDM",CM,Spain,25,RCD Espanyol de Barcelona
A. Barboza,Alexander Barboza,75,6500000,CB,CB,Argentina,27,Club Libertad
B. Heynen,Bryan Heynen,75,8000000,"CM,CDM",CM,Belgium,25,KRC Genk
M. Pjaca,Marko Pjaca,75,6500000,"CF,ST",CAM,Croatia,27,Empoli
Toni Villa,Antonio Villa Suárez,75,6000000,"LM,CAM,RM",LM,Spain,27,Girona FC
W. Anton,Waldemar Anton,75,6500000,"CB,CDM",CB,Germany,25,VfB Stuttgart
T. Ouwejan,Thomas Ouwejan,75,7000000,"LB,LWB",LWB,Netherlands,25,FC Schalke 04
T. Lorch,Thembinkosi Lorch,75,5500000,"RW,LW,CF",RW,South Africa,28,Orlando Pirates
Kevin,Kevin Vázquez Comesaña,75,4900000,"RB,RWB",RB,Spain,29,RC Celta de Vigo
L. Godoy,Leonardo Godoy,75,6000000,"RB,RWB",RB,Argentina,27,Estudiantes de La Plata
J. Cullen,Josh Cullen,75,6500000,"CDM,CM",CDM,Republic of Ireland,26,Burnley
S. Berge,Sander Berge,75,8000000,"CDM,CM",CB,Norway,24,Sheffield United
C. Guanca,Cristian Guanca,75,5500000,"CAM,RW,ST",CAM,Argentina,29,Al Shabab
L. Haraslín,Lukáš Haraslín,75,6500000,"LM,RM",LM,Slovakia,26,AC Sparta Praha
S. Rahimi,Soufiane Rahimi,75,6500000,"LM,ST",LM,Morocco,26,Al Ain FC
Moleiro,Alberto Moleiro González,75,13000000,"LM,CM,CAM",CAM,Spain,18,Unión Deportiva Las Palmas
F. Gatti,Federico Gatti,75,8000000,CB,CB,Italy,24,Juventus
P. Jansson,Pontus Jansson,75,3800000,CB,CB,Sweden,31,Brentford
V. Aboubakar,Vincent Aboubakar,75,5500000,ST,ST,Cameroon,30,Al Nassr
P. Dawidowicz,Paweł Dawidowicz,75,6500000,CB,CB,Poland,27,Hellas Verona
C. Goldson,Connor Goldson,75,5000000,CB,CB,England,29,Rangers FC
S. Rahimi,Soufiane Rahimi,75,6500000,"LM,ST",LM,Morocco,26,Al Ain FC
T. Pukki,Teemu Pukki,75,4600000,ST,ST,Finland,32,Norwich City
A. Palavecino,Agustín Palavecino,75,6500000,"CM,CAM",CAM,Argentina,25,River Plate
A. Luthe,Andreas Luthe,75,625000,GK,GK,Germany,35,1. FC Kaiserslautern
T. O'Brien,Tom O'Brien,75,5500000,GK,GK,England,27,AFC Richmond
D. Criscito,Domenico Criscito,75,1500000,"CB,LB,LM",CB,Italy,35,Toronto FC
T. Adarabioyo,Tosin Adarabioyo,75,10500000,CB,CB,England,24,Fulham
Cris Laranjeiros,Cristian Also Laranjeiro Sá,75,4600000,CB,CB,Brazil,30,Club Athletico Paranaense
A. Iwobi,Alex Iwobi,75,6500000,"RM,RWB,CM",RM,Nigeria,26,Everton
A. Duncan,Alfred Duncan,75,5500000,CM,CDM,Ghana,29,Fiorentina
F. Caicedo,Felipe Caicedo,75,3600000,ST,ST,Ecuador,33,Abha Club
Fábio Cardoso,Fábio Rafael Rodrigues Cardoso,75,5500000,CB,CB,Portugal,28,FC Porto
M. Bayo,Mohamed Bayo,75,8500000,ST,ST,Guinea,24,LOSC Lille
P. Aguilar,Pablo Aguilar,75,1500000,CB,CB,Paraguay,35,Club Libertad
Cédric,Cédric Ricardo Alves Soares,75,4800000,RB,RB,Portugal,30,Arsenal
M. Wöber,Maximilian Wöber,75,7500000,CB,CB,Austria,24,FC Red Bull Salzburg
B. Petković,Bruno Petković,75,6000000,"ST,CAM",CAM,Croatia,27,Dinamo Zagreb
R. Mandragora,Rolando Mandragora,75,8000000,"CM,CDM",CDM,Italy,25,Fiorentina
D. Bouanga,Denis Bouanga,75,6000000,"LM,ST,RM",LM,Gabon,27,Los Angeles FC
F. Sotoca,Florian Sotoca,75,4800000,ST,ST,France,31,Racing Club de Lens
Aguado,Álvaro Aguado Méndez,75,7500000,"CM,CAM,CDM",CM,Spain,26,Real Valladolid CF
S. Giménez,Santiago Giménez,75,12500000,ST,ST,Mexico,21,Feyenoord
O. Lingr,Ondřej Lingr,75,8500000,"CAM,LM,RM",CAM,Czech Republic,23,SK Slavia Praha
T. Bakayoko,Tiemoué Bakayoko,75,6000000,"CDM,CM",CB,France,27,AC Milan
A. Harit,Amine Harit,75,7500000,"LM,CAM,CM",CAM,Morocco,25,Olympique de Marseille
K. Danso,Kevin Danso,75,7500000,CB,CB,Austria,23,Racing Club de Lens
D. Martínez,David Martínez,75,7000000,"CB,LB",CB,Paraguay,24,River Plate
G. Bushchan,Georgiy Bushchan,75,5000000,GK,GK,Ukraine,28,Dynamo Kyiv
G. Kamara,Glen Kamara,75,7500000,CM,CDM,Finland,26,Rangers FC
J. Doku,Jérémy Doku,75,12500000,"RW,RM",CAM,Belgium,20,Stade Rennais FC
L. Balerdi,Leonardo Balerdi,75,8000000,CB,CB,Argentina,23,Olympique de Marseille
É. Balanta,Éder Balanta,75,4800000,"CDM,CM",CB,Colombia,29,Club Brugge KV
O. Kukoč,Ozzie Kukoč,75,11500000,"RM,RB",RM,England,22,AFC Richmond
U. Babatunde,Ugo Babatunde,75,4600000,CB,CB,Nigeria,30,AFC Richmond
D. Cockburn,Dejon Cockburn,75,6000000,ST,ST,Jamaica,27,AFC Richmond
J. Aholou,Jean-Eudes Aholou,75,5500000,"CDM,CM",CDM,Côte d'Ivoire,28,RC Strasbourg Alsace
G. Rutter,Georginio Rutter,75,12500000,ST,ST,France,20,TSG Hoffenheim
Luiz Gustavo,Luiz Gustavo Dias,75,1900000,"CDM,CM",CDM,Brazil,34,Al Nassr
E. Valencia,Enner Valencia,75,4600000,"ST,RW,LW",ST,Ecuador,32,Fenerbahçe SK
Gonçalo Ramos,Gonçalo Matias Ramos,75,12500000,"ST,CF",ST,Portugal,21,SL Benfica
Vitinho,Victor Vinícius Coelho dos Santos,75,5500000,"LM,ST",LM,Brazil,28,Ettifaq FC
L. Olaza,Lucas Olaza,75,5500000,"LB,LWB,CB",LB,Uruguay,27,Real Valladolid CF
Kévin Rodrigues,Kévin Manuel Rodrigues,75,5000000,"LB,LM",LB,Portugal,28,Adana Demirspor
K. Piątek,Krzysztof Piątek,75,6500000,ST,ST,Poland,27,US Salernitana 1919
Vallejo,Jesús Vallejo Lázaro,75,7000000,CB,CB,Spain,25,Real Madrid CF
V. Nelsson,Victor Nelsson,75,8000000,CB,CB,Denmark,23,Galatasaray SK
J. Ramsey,Jacob Ramsey,75,12500000,"CM,CAM",CAM,England,21,Aston Villa
Zainadine,Zainadine Chavango Júnior,75,1800000,CB,CB,Mozambique,34,Clube Sport Marítimo
A. McCarthy,Alex McCarthy,75,2800000,GK,GK,England,32,Southampton
Toni Villa,Antonio Villa Suárez,75,6000000,"LM,CAM,RM",LM,Spain,27,Girona FC
A. Younes,Amin Younes,75,5500000,"CAM,LM",CAM,Germany,28,FC Utrecht
C. Arango,Cristian Arango,75,6500000,"ST,CAM",ST,Colombia,27,Los Angeles FC
L. Burián,Leonardo Burián,75,625000,GK,GK,Uruguay,38,Vélez Sarsfield
G. Til,Guus Til,75,7500000,"CAM,CM",ST,Netherlands,24,PSV
K. Akpoguma,Kevin Akpoguma,75,6000000,"CB,RWB",CB,Nigeria,27,TSG Hoffenheim
D. Kyereh,Daniel-Kofi Kyereh,75,7500000,"CAM,ST,RM",CAM,Ghana,26,Sport-Club Freiburg
O. Yokuşlu,Okay Yokuşlu,75,5500000,"CDM,CM,CB",CDM,Turkey,28,West Bromwich Albion
D. Cheryshev,Denis Cheryshev,75,4700000,"LM,LW",LM,Russia,31,Venezia FC
R. Quioto,Romell Quioto,75,5500000,ST,ST,Honduras,30,Club de Foot Montréal
J. Wallace,Jed Wallace,75,5500000,"CAM,RW",CAM,England,28,West Bromwich Albion
Wendell,Wendell Nascimento Borges,75,5000000,LB,LB,Brazil,28,FC Porto
M. Ngadeu,Michael Ngadeu,75,3800000,CB,CB,Cameroon,31,KAA Gent
Duirval Diniz,Duirval Hélton Diniz Cabral,75,5500000,"CB,RB",CB,Brazil,26,Club Athletico Paranaense
Álex Baena,Alejandro Baena Rodríguez,75,11000000,"RM,CM,ST",CAM,Spain,20,Villarreal CF
Elildo Petri,Elias Thiago Petri Taffarel,75,6000000,"RM,CAM",RM,Brazil,26,Palmeiras
D. Turnbull,David Turnbull,75,11500000,"CM,CAM",CAM,Scotland,22,Celtic
E. Destanoğlu,Ersin Destanoğlu,75,7500000,GK,GK,Turkey,21,Beşiktaş JK
Dênildo Stein,Dênis Rubens Stein Rebelo,75,1900000,"ST,CF",ST,Brazil,38,Ceará Sporting Club
C. Roberts,Connor Roberts,75,6000000,"RB,RWB",RB,Wales,26,Burnley
J. Ayew,Jordan Ayew,75,5500000,"RW,ST,RM",RW,Ghana,30,Crystal Palace
T. Horn,Timo Horn,75,4700000,GK,GK,Germany,29,1. FC Köln
Formosandrinho,Estevão Daniel Formoso Serpa,75,5500000,"ST,CF",ST,Brazil,30,Clube Atlético Mineiro
L. Openda,Loïs Openda,75,12500000,ST,ST,Belgium,22,Racing Club de Lens
T. Foket,Thomas Foket,75,5500000,"RB,RWB",RB,Belgium,27,Stade de Reims
E. Gómez,Elías Gómez,75,5000000,"LB,LWB",LB,Argentina,28,River Plate
E. Pinnock,Ethan Pinnock,75,4700000,CB,CB,Jamaica,29,Brentford
B. Martins Indi,Bruno Martins Indi,75,4600000,CB,CB,Netherlands,30,AZ Alkmaar
D. Ward,Danny Ward,75,3800000,GK,GK,Wales,29,Leicester City
R. Thomas,Romain Thomas,75,1800000,CB,CB,France,34,Stade Malherbe Caen
Rafael Cachoira,Rafael Jorgino Cachoira Rebelo,75,6000000,"CB,CDM",CB,Brazil,22,RB Bragantino
R. Alessandrini,Romain Alessandrini,75,3600000,"ST,RM,LM",ST,France,33,Shenzhen FC
Dodô,Domilson Cordeiro dos Santos,75,12000000,RB,RM,Brazil,23,Fiorentina
Riqui Puig,Ricard Puig Martí,75,12500000,CM,CAM,Spain,22,LA Galaxy
João Paulo,João Paulo Mior,75,4600000,"CM,CDM",CM,Brazil,31,Seattle Sounders FC
N. Sansone,Nicola Sansone,75,5500000,"CAM,LW",CAM,Italy,30,Bologna
Dani García,Daniel García Carrillo,75,4400000,CM,CDM,Spain,32,Athletic Club de Bilbao
Pepelu,Jose Luís García Vayá,75,9000000,"CM,CDM",CM,Spain,23,Levante Unión Deportiva
R. Rojas,Robert Rojas,75,6000000,"RB,CB",RB,Paraguay,26,River Plate
T. Cairney,Tom Cairney,75,4600000,"CM,CAM",CM,Scotland,31,Fulham
J. Seri,Jean Michaël Seri,75,5500000,"CM,CDM",CM,Côte d'Ivoire,30,Hull City
P. Lees-Melou,Pierre Lees-Melou,75,5500000,"CM,CAM",CM,France,29,Stade Brestois 29
J. Aribo,Joe Aribo,75,7500000,CM,CAM,Nigeria,25,Southampton
T. Fountas,Taxiarchis Fountas,75,6500000,"CF,ST,CAM",ST,Greece,26,D.C. United
J. El Yamiq,Jawad El Yamiq,75,4600000,CB,CB,Morocco,30,Real Valladolid CF
F. Cristaldo,Franco Cristaldo,75,7500000,"CAM,CM,LM",CAM,Argentina,25,Club Atlético Huracán
S. Kolašinac,Sead Kolašinac,75,4900000,"LB,CB",LB,Bosnia and Herzegovina,29,Olympique de Marseille
Iborra,Vicente Iborra de la Fuente,75,1900000,"CDM,CM",CDM,Spain,34,Levante Unión Deportiva
M. Eggestein,Maximilian Eggestein,75,6000000,"CDM,CM",CDM,Germany,25,Sport-Club Freiburg
Jorginhson,Jorgino Silas Ruiz Prestes,75,4700000,"CDM,CM,CAM",CDM,Brazil,30,Ceará Sporting Club
Kevin,Kevin Vázquez Comesaña,75,4900000,"RB,RWB",RB,Spain,29,RC Celta de Vigo
S. Zuber,Steven Zuber,75,5500000,LW,LW,Switzerland,30,AEK Athens
R. Sessegnon,Ryan Sessegnon,75,12000000,"LWB,LB",LM,England,22,Tottenham Hotspur
L. Giannetti,Lautaro Giannetti,75,5500000,CB,CB,Argentina,28,Vélez Sarsfield
Matheus,Matheus Leite Nascimento,75,1800000,"RM,ST,CF",LM,Brazil,39,Zhejiang Professional FC
A. Christiansen,Anders Christiansen,75,4400000,"CM,CAM",CM,Denmark,32,Malmö FF
Iván Alejo,Iván Alejo Peralta,75,6000000,"RM,LM",RW,Spain,27,Cádiz CF
A. El Ghazi,Anwar El Ghazi,75,6000000,"LW,RW",ST,Netherlands,27,PSV
Lincoln,Lincoln Oliveira dos Santos,75,11500000,"CAM,CM",LM,Brazil,23,Fenerbahçe SK
M. Dabbur,Munas Dabbur,75,5500000,ST,ST,Israel,30,TSG Hoffenheim
B. Chardonnet,Brendan Chardonnet,75,6500000,CB,CB,France,27,Stade Brestois 29
Y. Atal,Youcef Atal,75,7000000,"RB,RM",RM,Algeria,26,OGC Nice
F. Zuqui,Fernando Zuqui,75,5500000,"CM,CAM,CDM",CM,Argentina,30,Estudiantes de La Plata
Y. Chará,Yimmi Chará,75,4700000,"CAM,LM,RM",RW,Colombia,31,Portland Timbers
A. Maxim,Alexandru Maxim,75,4700000,"CAM,CM,LM",CAM,Romania,31,Gazişehir Gaziantep F.K.
A. Barboza,Alexander Barboza,75,6500000,CB,CB,Argentina,27,Club Libertad
T. Davies,Tom Davies,75,7500000,"CM,CDM",CM,England,24,Everton
A. Mandous,Aleš Mandous,75,3700000,GK,GK,Czech Republic,30,SK Slavia Praha
S. Larsson,Sam Larsson,75,5500000,"LM,ST",CAM,Sweden,29,Antalyaspor
I. Schranz,Ivan Schranz,75,5500000,"RM,RB,ST",ST,Slovakia,28,SK Slavia Praha
N. Füllkrug,Niclas Füllkrug,75,5500000,ST,ST,Germany,29,SV Werder Bremen
André Gomes,André Filipe Tavares Gomes,75,5500000,"CM,CDM",CM,Portugal,28,LOSC Lille
L. Abergel,Laurent Abergel,75,4800000,"CDM,CM",CDM,France,29,FC Lorient
J. Pešek,Jakub Pešek,75,5500000,"RM,LM,CF",RM,Czech Republic,29,AC Sparta Praha
A. Losilla,Anthony Losilla,75,1100000,"CDM,CM,CB",CDM,France,36,VfL Bochum 1848
F. Gatti,Federico Gatti,75,8000000,CB,CB,Italy,24,Juventus
Álex Baena,Alejandro Baena Rodríguez,75,11000000,"RM,CM,ST",CAM,Spain,20,Villarreal CF
J. Larsen,Jens Stryger Larsen,75,4099999,"RB,RWB,LWB",RB,Denmark,31,Trabzonspor
Samu Sáiz,Samuel Sáiz Alonso,75,4800000,"ST,LM,RM",RW,Spain,31,Girona FC
T. Lamptey,Tariq Lamptey,75,12000000,"RWB,RB",RWB,Ghana,21,Brighton & Hove Albion
Zé Luís,José Luís Mendes Andrade,75,4800000,ST,ST,Cape Verde Islands,31,Atakaş Hatayspor
J. Lindstrøm,Jesper Lindstrøm,75,12500000,"CAM,CF",CAM,Denmark,22,Eintracht Frankfurt
R. Henry,Rico Henry,75,7000000,"LWB,LB",LWB,England,24,Brentford
N. Pérez,Nehuén Pérez,75,10500000,CB,CB,Argentina,22,Udinese Calcio
M. Gibbs-White,Morgan Gibbs-White,75,12500000,"CAM,ST,RM",CAM,England,22,Nottingham Forest
Daniel Bragança,Daniel Santos Bragança,75,12500000,CM,CAM,Portugal,23,Sporting CP
G. Higuaín,Gonzalo Higuaín,75,2700000,ST,ST,Argentina,34,Inter Miami CF
A. Lunin,Andriy Lunin,75,11000000,GK,GK,Ukraine,23,Real Madrid CF
N. Stark,Niklas Stark,75,6000000,"CB,CDM",CB,Germany,27,SV Werder Bremen
J. Brownhill,Josh Brownhill,75,7500000,"CM,RM",CDM,England,26,Burnley
Omar Mascarell,Omar Mascarell González,75,4800000,"CDM,CM",CDM,Spain,29,Elche CF
Lekue,Iñigo Lekue Martínez,75,4900000,"RB,LB",RB,Spain,29,Athletic Club de Bilbao
P. Beruatto,Pietro Beruatto,75,8500000,LB,LB,Italy,23,Pisa
Davi Parrela,Davi Alexandre Parrela Ferreira,75,6000000,"CB,CDM",CB,Brazil,22,Atlético Clube Goianiense
A. Král,Alex Král,75,8000000,"CDM,CM",CDM,Czech Republic,24,FC Schalke 04
Ș. Radu,Ștefan Radu,75,1500000,CB,CB,Romania,35,Lazio
R. Vargas,Ruben Vargas,75,9000000,"LM,RM",LM,Switzerland,23,FC Augsburg
A. Maitland-Niles,Ainsley Maitland-Niles,75,6500000,"RWB,RM,RB",RWB,England,24,Southampton
D. Spence,Djed Spence,75,12000000,"RWB,RB",RWB,England,21,Tottenham Hotspur
P. Ševčík,Petr Ševčík,75,5500000,"CM,RM,CDM",CM,Czech Republic,28,SK Slavia Praha
J. Russell,Johnny Russell,75,4500000,"RW,RM",RW,Scotland,32,Sporting Kansas City
M. Gusto,Malo Gusto,75,11500000,RB,RB,France,19,Olympique Lyonnais
A. Theate,Arthur Theate,75,10500000,CB,CB,Belgium,22,Stade Rennais FC
A. Ömür,Abdülkadir Ömür,75,8500000,"CAM,RW,CM",CAM,Turkey,23,Trabzonspor
Formosandrinho,Estevão Daniel Formoso Serpa,75,5500000,"ST,CF",ST,Brazil,30,Clube Atlético Mineiro
Rafael Cachoira,Rafael Jorgino Cachoira Rebelo,75,6000000,"CB,CDM",CB,Brazil,22,RB Bragantino
G. Pezzella,Giuseppe Pezzella,75,6500000,"LB,LM,LWB",LB,Italy,24,Lecce
Pepelu,Jose Luís García Vayá,75,9000000,"CM,CDM",CM,Spain,23,Levante Unión Deportiva
N. Nández,Nahitan Nández,75,6500000,"RM,CM",CDM,Uruguay,26,Cagliari
J. Aribo,Joe Aribo,75,7500000,CM,CAM,Nigeria,25,Southampton
I. Sissoko,Ibrahima Sissoko,75,8000000,"CM,CDM,CB",CDM,France,24,RC Strasbourg Alsace
Iván Alejo,Iván Alejo Peralta,75,6000000,"RM,LM",RW,Spain,27,Cádiz CF
S. Banza,Simon Banza,75,7500000,ST,ST,France,25,SC Braga
M. Wöber,Maximilian Wöber,75,7500000,CB,CB,Austria,24,FC Red Bull Salzburg
J. Juranović,Josip Juranović,75,6000000,"RB,LB",RB,Croatia,26,Celtic
A. Harit,Amine Harit,75,7500000,"LM,CAM,CM",CAM,Morocco,25,Olympique de Marseille
F. Uduokhai,Felix Uduokhai,75,7000000,CB,CB,Germany,24,FC Augsburg
K. Itakura,Ko Itakura,75,7500000,"CB,CDM",CB,Japan,25,Borussia Mönchengladbach
M. Zajc,Miha Zajc,75,5500000,"CM,CDM,CAM",CM,Slovenia,28,Fenerbahçe SK
Lincoln,Lincoln Oliveira dos Santos,75,11500000,"CAM,CM",LM,Brazil,23,Fenerbahçe SK
B. Alemán,Brahian Alemán,75,4400000,"CM,CAM,RM",CM,Uruguay,32,Gimnasia y Esgrima La Plata
L. Haraslín,Lukáš Haraslín,75,6500000,"LM,RM",LM,Slovakia,26,AC Sparta Praha
Cucho Hernández,Juan Camilo Hernández Suárez,75,8500000,"ST,RM,LM",ST,Colombia,23,Columbus Crew
A. Yarmolenko,Andriy Yarmolenko,75,4500000,"RM,ST",CAM,Ukraine,32,Al Ain FC
C. Roldan,Cristian Roldan,75,6000000,"RM,CM,CAM",CM,United States,27,Seattle Sounders FC
Jean,Jean Paulo Fernandes Filho,75,5500000,GK,GK,Brazil,26,Club Cerro Porteño
L. Tawamba,Léandre Tawamba,75,4600000,ST,ST,Cameroon,32,Al Taawoun
S. Berge,Sander Berge,75,8000000,"CDM,CM",CB,Norway,24,Sheffield United
A. Varela,Alan Varela,75,11500000,"CDM,CM",CDM,Argentina,20,Boca Juniors
J. Clasie,Jordy Clasie,75,4600000,"CM,CDM",CM,Netherlands,31,AZ Alkmaar
Rochinha,Diogo Filipe Rocha Costa,75,6000000,LW,LW,Portugal,27,Sporting CP
M. Silva,Martín Silva,75,625000,GK,GK,Uruguay,39,Club Libertad
J. Gallardo,Jesús Gallardo,75,0,"LB,LM,LW",LB,Mexico,27,Free agent
W. Bou,Walter Bou,75,6000000,"ST,CF,CAM",ST,Argentina,28,Vélez Sarsfield
S. Johnstone,Sam Johnstone,75,4700000,GK,GK,England,29,Crystal Palace
C. Ansaldi,Cristian Ansaldi,75,1700000,"LWB,LB,LM",LWB,Argentina,35,Parma
B. Hübner,Benjamin Hübner,75,3600000,CB,CB,Germany,32,TSG Hoffenheim
